Coating_Type,DD_Decay_days,Clean_Decay_days
INSOLUBLE,1095,180
SOLUBLE_CONV,1460,270
CDP,1460,365
SPC_STD,1825,450
SPC_EXT,2190,540
HYBRID_CDP_SPC,1825,365
FRC,2190,270
ULTRA_HARD,1095,180
