Variable,AHP_Weight,Entropy_Weight,Final_Weight,Include,Active_Unnorm,Final_Weight_Normalized,Total_Weight
Idle_Ratio,0.291,-0.002,0.144,1,0.144,0.145,1.0
SST_degC,0.172,0.078,0.125,1,0.125,0.125,
Salinity_psu,0.224,0.294,0.259,1,0.259,0.259,
Region_Risk,0.132,0.049,0.09,1,0.09,0.091,
Season_Risk,0.078,0.286,0.182,1,0.182,0.182,
Niche_Score,0.102,0.294,0.198,1,0.198,0.198,
